DepartmentID|Name|GroupName
1|Engineering 1|Research and Development 1
2|Tool Design 2|Research and Development 2
3|Sales 3|Sales and Marketing 3
4|Marketing 4|Sales and Marketing 4
5|Purchasing 5|Inventory Management 5
6|Research and Development 6|Research and Development 6
7|Production 7|Manufacturing 7
8|Production Control 8|Manufacturing 8
9|Human Resources 9|Executive General and Administration 9
10|Finance 10|Executive General and Administration 10
11|Information Services 11|Executive General and Administration 11
12|Document Control 12|Quality Assurance 12
13|Quality Assurance 13|Quality Assurance 13
14|Facilities and Maintenance 14|Executive General and Administration 14
15|Shipping and Receiving 15|Inventory Management 15
16|Executive 16|Executive General and Administration 16
17|Engineering 17|Research and Development 17
18|Tool Design 18|Research and Development 18
19|Sales 19|Sales and Marketing 19
20|Marketing 20|Sales and Marketing 20
21|Purchasing 21|Inventory Management 21
22|Research and Development 22|Research and Development 22
23|Production 23|Manufacturing 23
24|Production Control 24|Manufacturing 24
25|Human Resources 25|Executive General and Administration 25
26|Finance 26|Executive General and Administration 26
27|Information Services 27|Executive General and Administration 27
28|Document Control 28|Quality Assurance 28
29|Quality Assurance 29|Quality Assurance 29
30|Facilities and Maintenance 30|Executive General and Administration 30
31|Shipping and Receiving 31|Inventory Management 31
32|Executive 32|Executive General and Administration 32
33|Engineering 33|Research and Development 33
34|Tool Design 34|Research and Development 34
35|Sales 35|Sales and Marketing 35
36|Marketing 36|Sales and Marketing 36
37|Purchasing 37|Inventory Management 37
38|Research and Development 38|Research and Development 38
39|Production 39|Manufacturing 39
40|Production Control 40|Manufacturing 40
41|Human Resources 41|Executive General and Administration 41
42|Finance 42|Executive General and Administration 42
43|Information Services 43|Executive General and Administration 43
44|Document Control 44|Quality Assurance 44
45|Quality Assurance 45|Quality Assurance 45
46|Facilities and Maintenance 46|Executive General and Administration 46
47|Shipping and Receiving 47|Inventory Management 47
48|Executive 48|Executive General and Administration 48
49|Engineering 49|Research and Development 49
50|Tool Design 50|Research and Development 50
51|Sales 51|Sales and Marketing 51
52|Marketing 52|Sales and Marketing 52
53|Purchasing 53|Inventory Management 53
54|Research and Development 54|Research and Development 54
55|Production 55|Manufacturing 55
56|Production Control 56|Manufacturing 56
57|Human Resources 57|Executive General and Administration 57
58|Finance 58|Executive General and Administration 58
59|Information Services 59|Executive General and Administration 59
60|Document Control 60|Quality Assurance 60
61|Quality Assurance 61|Quality Assurance 61
62|Facilities and Maintenance 62|Executive General and Administration 62
63|Shipping and Receiving 63|Inventory Management 63
64|Executive 64|Executive General and Administration 64
65|Engineering 65|Research and Development 65
66|Tool Design 66|Research and Development 66
67|Sales 67|Sales and Marketing 67
68|Marketing 68|Sales and Marketing 68
69|Purchasing 69|Inventory Management 69
70|Research and Development 70|Research and Development 70
71|Production 71|Manufacturing 71
72|Production Control 72|Manufacturing 72
73|Human Resources 73|Executive General and Administration 73
74|Finance 74|Executive General and Administration 74
75|Information Services 75|Executive General and Administration 75
76|Document Control 76|Quality Assurance 76
77|Quality Assurance 77|Quality Assurance 77
78|Facilities and Maintenance 78|Executive General and Administration 78
79|Shipping and Receiving 79|Inventory Management 79
80|Executive 80|Executive General and Administration 80
81|Engineering 81|Research and Development 81
82|Tool Design 82|Research and Development 82
83|Sales 83|Sales and Marketing 83
84|Marketing 84|Sales and Marketing 84
85|Purchasing 85|Inventory Management 85
86|Research and Development 86|Research and Development 86
87|Production 87|Manufacturing 87
88|Production Control 88|Manufacturing 88
89|Human Resources 89|Executive General and Administration 89
90|Finance 90|Executive General and Administration 90
91|Information Services 91|Executive General and Administration 91
92|Document Control 92|Quality Assurance 92
93|Quality Assurance 93|Quality Assurance 93
94|Facilities and Maintenance 94|Executive General and Administration 94
95|Shipping and Receiving 95|Inventory Management 95
96|Executive 96|Executive General and Administration 96
97|Engineering 97|Research and Development 97
98|Tool Design 98|Research and Development 98
99|Sales 99|Sales and Marketing 99
100|Marketing 100|Sales and Marketing 100
101|Purchasing 101|Inventory Management 101
102|Research and Development 102|Research and Development 102
103|Production 103|Manufacturing 103
104|Production Control 104|Manufacturing 104
105|Human Resources 105|Executive General and Administration 105
106|Finance 106|Executive General and Administration 106
107|Information Services 107|Executive General and Administration 107
108|Document Control 108|Quality Assurance 108
109|Quality Assurance 109|Quality Assurance 109
110|Facilities and Maintenance 110|Executive General and Administration 110
111|Shipping and Receiving 111|Inventory Management 111
112|Executive 112|Executive General and Administration 112
113|Engineering 113|Research and Development 113
114|Tool Design 114|Research and Development 114
115|Sales 115|Sales and Marketing 115
116|Marketing 116|Sales and Marketing 116
117|Purchasing 117|Inventory Management 117
118|Research and Development 118|Research and Development 118
119|Production 119|Manufacturing 119
120|Production Control 120|Manufacturing 120
121|Human Resources 121|Executive General and Administration 121
122|Finance 122|Executive General and Administration 122
123|Information Services 123|Executive General and Administration 123
124|Document Control 124|Quality Assurance 124
125|Quality Assurance 125|Quality Assurance 125
126|Facilities and Maintenance 126|Executive General and Administration 126
127|Shipping and Receiving 127|Inventory Management 127
128|Executive 128|Executive General and Administration 128
129|Engineering 129|Research and Development 129
130|Tool Design 130|Research and Development 130
131|Sales 131|Sales and Marketing 131
132|Marketing 132|Sales and Marketing 132
133|Purchasing 133|Inventory Management 133
134|Research and Development 134|Research and Development 134
135|Production 135|Manufacturing 135
136|Production Control 136|Manufacturing 136
137|Human Resources 137|Executive General and Administration 137
138|Finance 138|Executive General and Administration 138
139|Information Services 139|Executive General and Administration 139
140|Document Control 140|Quality Assurance 140
141|Quality Assurance 141|Quality Assurance 141
142|Facilities and Maintenance 142|Executive General and Administration 142
143|Shipping and Receiving 143|Inventory Management 143
144|Executive 144|Executive General and Administration 144
145|Engineering 145|Research and Development 145
146|Tool Design 146|Research and Development 146
147|Sales 147|Sales and Marketing 147
148|Marketing 148|Sales and Marketing 148
149|Purchasing 149|Inventory Management 149
150|Research and Development 150|Research and Development 150
151|Production 151|Manufacturing 151
152|Production Control 152|Manufacturing 152
153|Human Resources 153|Executive General and Administration 153
154|Finance 154|Executive General and Administration 154
155|Information Services 155|Executive General and Administration 155
156|Document Control 156|Quality Assurance 156
157|Quality Assurance 157|Quality Assurance 157
158|Facilities and Maintenance 158|Executive General and Administration 158
159|Shipping and Receiving 159|Inventory Management 159
160|Executive 160|Executive General and Administration 160
161|Engineering 161|Research and Development 161
162|Tool Design 162|Research and Development 162
163|Sales 163|Sales and Marketing 163
164|Marketing 164|Sales and Marketing 164
165|Purchasing 165|Inventory Management 165
166|Research and Development 166|Research and Development 166
167|Production 167|Manufacturing 167
168|Production Control 168|Manufacturing 168
169|Human Resources 169|Executive General and Administration 169
170|Finance 170|Executive General and Administration 170
171|Information Services 171|Executive General and Administration 171
172|Document Control 172|Quality Assurance 172
173|Quality Assurance 173|Quality Assurance 173
174|Facilities and Maintenance 174|Executive General and Administration 174
175|Shipping and Receiving 175|Inventory Management 175
176|Executive 176|Executive General and Administration 176
177|Engineering 177|Research and Development 177
178|Tool Design 178|Research and Development 178
179|Sales 179|Sales and Marketing 179
180|Marketing 180|Sales and Marketing 180
181|Purchasing 181|Inventory Management 181
182|Research and Development 182|Research and Development 182
183|Production 183|Manufacturing 183
184|Production Control 184|Manufacturing 184
185|Human Resources 185|Executive General and Administration 185
186|Finance 186|Executive General and Administration 186
187|Information Services 187|Executive General and Administration 187
188|Document Control 188|Quality Assurance 188
189|Quality Assurance 189|Quality Assurance 189
190|Facilities and Maintenance 190|Executive General and Administration 190
191|Shipping and Receiving 191|Inventory Management 191
192|Executive 192|Executive General and Administration 192
193|Engineering 193|Research and Development 193
194|Tool Design 194|Research and Development 194
195|Sales 195|Sales and Marketing 195
196|Marketing 196|Sales and Marketing 196
197|Purchasing 197|Inventory Management 197
198|Research and Development 198|Research and Development 198
199|Production 199|Manufacturing 199
200|Production Control 200|Manufacturing 200
201|Human Resources 201|Executive General and Administration 201
202|Finance 202|Executive General and Administration 202
203|Information Services 203|Executive General and Administration 203
204|Document Control 204|Quality Assurance 204
205|Quality Assurance 205|Quality Assurance 205
206|Facilities and Maintenance 206|Executive General and Administration 206
207|Shipping and Receiving 207|Inventory Management 207
208|Executive 208|Executive General and Administration 208
209|Engineering 209|Research and Development 209
210|Tool Design 210|Research and Development 210
211|Sales 211|Sales and Marketing 211
212|Marketing 212|Sales and Marketing 212
213|Purchasing 213|Inventory Management 213
214|Research and Development 214|Research and Development 214
215|Production 215|Manufacturing 215
216|Production Control 216|Manufacturing 216
217|Human Resources 217|Executive General and Administration 217
